ID,RSU Code,SDU Billing Rates,TPT Status,Circle,Decom Date,ID (Rsu Items),Item (Rsu Items),Plan FAT (Rsu Items),Plan Fibre length (Rsu Items),Plan HP (Rsu Items)
,,,,,,,SER-FSDU-CFT-12F,225,0,1800
,,,,,,,SER-FSDU-CFT-24F,225,0,1800
,,,,,,,SER-FSDU-CFT-48F,225,0,1800
,	AEM-0,KTK 1 Year Fix,,KTK,,,SER-FSDU-CFT-6F,154,0,2312
,,,,,,,SER-FSDU-CFT-12F,154,0,2312
,,,,,,,SER-FSDU-CFT-24F,154,0,2312
,,,,,,,SER-FSDU-CFT-48F,154,0,2312
,	AES-0,KTK 1 Year Fix,,KTK,,,SER-FSDU-CFT-6F,59,0,982
,,,,,,,SER-FSDU-CFT-12F,59,0,982
,,,,,,,SER-FSDU-CFT-24F,59,0,982
,,,,,,,SER-FSDU-CFT-48F,59,0,982
,	AEU-0,UPW 1 Year Fix,,UPW,,,SER-FSDU-CFT-6F,239,0,1912
,,,,,,,SER-FSDU-CFT-12F,239,0,1912
,,,,,,,SER-FSDU-CFT-24F,239,0,1912
,,,,,,,SER-FSDU-CFT-48F,239,0,1912
,	AFC-0,UPW 1 Year Fix,,UPW,,,SER-FSDU-CFT-6F,228,0,1824
,,,,,,,SER-FSDU-CFT-12F,228,0,1824
,,,,,,,SER-FSDU-CFT-24F,228,0,1824
,,,,,,,SER-FSDU-CFT-48F,228,0,1824
,	AFC-0,UPW 1 Year Fix,TPT Route,UPW,,,SER-FSDU-CFT-6F,0,0,0
,,,,,,,SER-FSDU-CFT-12F,0,0,0
,,,,,,,SER-FSDU-CFT-24F,0,0,0
,,,,,,,SER-FSDU-CFT-48F,0,0,0
,	AFD-0,UPW 1 Year Fix,,UPW,,,SER-FSDU-CFT-6F,247,0,1976
,,,,,,,SER-FSDU-CFT-12F,247,0,1976
,,,,,,,SER-FSDU-CFT-24F,247,0,1976
,,,,,,,SER-FSDU-CFT-48F,247,0,1976
,	AFE-0,UPW 1 Year Fix,,UPW,,,SER-FSDU-CFT-6F,32,0,256
,,,,,,,SER-FSDU-CFT-12F,32,0,256
,,,,,,,SER-FSDU-CFT-24F,32,0,256
,,,,,,,SER-FSDU-CFT-48F,32,0,256
,	AFE-0,UPW 1 Year Fix,TPT Route,UPW,,,SER-FSDU-CFT-6F,0,0,0
,,,,,,,SER-FSDU-CFT-12F,0,0,0
,,,,,,,SER-FSDU-CFT-24F,0,0,0
,,,,,,,SER-FSDU-CFT-48F,0,0,0
