ID,RSU Code,SDU Billing Rates,Circle,Decom Date,ID (Rsu Items),Item (Rsu Items),Plan FAT (Rsu Items),Plan Fibre length (Rsu Items),Plan HP (Rsu Items)
,BD4-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,42,644,384
,,,,,,SER-FSDU-CFT-12F,42,575,384
,,,,,,SER-FSDU-CFT-24F,42,1235,384
,,,,,,SER-FSDU-CFT-48F,42,0,384
,BIA-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,159,3100,1272
,,,,,,SER-FSDU-CFT-12F,159,2880,1272
,,,,,,SER-FSDU-CFT-24F,159,1920,1272
,,,,,,SER-FSDU-CFT-48F,159,830,1272
,BT3-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,123,1600,984
,,,,,,SER-FSDU-CFT-12F,123,1300,984
,,,,,,SER-FSDU-CFT-24F,123,1950,984
,,,,,,SER-FSDU-CFT-48F,123,2050,984
,BU0-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,200,3250,1600
,,,,,,SER-FSDU-CFT-12F,200,3270,1600
,,,,,,SER-FSDU-CFT-24F,200,6055,1600
,,,,,,SER-FSDU-CFT-48F,200,4110,1600
,C1N-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,261,6402,2296
,,,,,,SER-FSDU-CFT-12F,261,6958,2296
,,,,,,SER-FSDU-CFT-24F,261,3979,2296
,,,,,,SER-FSDU-CFT-48F,261,1141,2296
,C1W-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,191,5347,1728
,,,,,,SER-FSDU-CFT-12F,191,0,1728
,,,,,,SER-FSDU-CFT-24F,191,2927,1728
,,,,,,SER-FSDU-CFT-48F,191,487,1728
,C3K-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,244,8000,1960
,,,,,,SER-FSDU-CFT-12F,244,3000,1960
,,,,,,SER-FSDU-CFT-24F,244,4500,1960
,,,,,,SER-FSDU-CFT-48F,244,0,1960
,CH1-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,113,3320,936
,,,,,,SER-FSDU-CFT-12F,113,2750,936
,,,,,,SER-FSDU-CFT-24F,113,1340,936
,,,,,,SER-FSDU-CFT-48F,113,330,936
,CH2/CN3-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,138,4830,1312
,,,,,,SER-FSDU-CFT-12F,138,1780,1312
,,,,,,SER-FSDU-CFT-24F,138,1730,1312
,,,,,,SER-FSDU-CFT-48F,138,457,1312
,CH4-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,118,1480,944
,,,,,,SER-FSDU-CFT-12F,118,1481,944
,,,,,,SER-FSDU-CFT-24F,118,1832,944
,,,,,,SER-FSDU-CFT-48F,118,1638,944
,CN3-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,168,0,1344
,,,,,,SER-FSDU-CFT-12F,168,0,1344
,,,,,,SER-FSDU-CFT-24F,168,2460,1344
,,,,,,SER-FSDU-CFT-48F,168,0,1344
,D0U-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,209,2854,1672
,,,,,,SER-FSDU-CFT-12F,209,2481,1672
,,,,,,SER-FSDU-CFT-24F,209,5424,1672
,,,,,,SER-FSDU-CFT-48F,209,1812,1672
,D2W-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,315,7056,2520
,,,,,,SER-FSDU-CFT-12F,315,11082,2520
,,,,,,SER-FSDU-CFT-24F,315,3702,2520
,,,,,,SER-FSDU-CFT-48F,315,420,2520
,D3S-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,319,12700,2552
,,,,,,SER-FSDU-CFT-12F,319,6300,2552
,,,,,,SER-FSDU-CFT-24F,319,2500,2552
,,,,,,SER-FSDU-CFT-48F,319,420,2552
,D3V-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,64,1367,512
,,,,,,SER-FSDU-CFT-12F,64,1217,512
,,,,,,SER-FSDU-CFT-24F,64,818,512
,,,,,,SER-FSDU-CFT-48F,64,0,512
,D8X-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,125,1340,1824
,,,,,,SER-FSDU-CFT-12F,125,1425,1824
,,,,,,SER-FSDU-CFT-24F,125,1925,1824
,,,,,,SER-FSDU-CFT-48F,125,1385,1824
,D9E-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,291,3150,2512
,,,,,,SER-FSDU-CFT-12F,291,3025,2512
,,,,,,SER-FSDU-CFT-24F,291,5265,2512
,,,,,,SER-FSDU-CFT-48F,291,3100,2512
,D9X-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,126,1380,2016
,,,,,,SER-FSDU-CFT-12F,126,1345,2016
,,,,,,SER-FSDU-CFT-24F,126,1960,2016
,,,,,,SER-FSDU-CFT-48F,126,1517,2016
,DIM-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,180,8580,1440
,,,,,,SER-FSDU-CFT-12F,180,7444,1440
,,,,,,SER-FSDU-CFT-24F,180,3964,1440
,,,,,,SER-FSDU-CFT-48F,180,0,1440
,DU0-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,32,602,256
,,,,,,SER-FSDU-CFT-12F,32,774,256
,,,,,,SER-FSDU-CFT-24F,32,1002,256
,,,,,,SER-FSDU-CFT-48F,32,0,256
,DU4-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,128,1663,952
,,,,,,SER-FSDU-CFT-12F,128,1585,952
,,,,,,SER-FSDU-CFT-24F,128,2730,952
,,,,,,SER-FSDU-CFT-48F,128,1193,952
,DX3-0,DEL 1 Year Fix,DEL,,,SER-FSDU-CFT-6F,213,10470,1704
,,,,,,SER-FSDU-CFT-12F,213,11040,1704
,,,,,,SER-FSDU-CFT-24F,213,8990,1704
,,,,,,SER-FSDU-CFT-48F,213,2660,1704
